ID,id,name,type,kegg,formula,super_class,class,sub_class,family,description,importance,odor_info,source
VOL_00013,Theaspirane B,Theaspirane B,metabolite,,C10H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,茶螺烷B，茶螺烷A的异构体，香气特征相似。,中 - 与A异构体协同贡献茶香,茶香、薄荷凉感、花香,Flavor_database
VOL_00014,3-Oxo-α-ionol,3-Oxo-α-ionol,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰醇的氧化产物，是烟草中重要的C13降异戊二烯醇酮。,中高 - 烟草果香和木香的贡献者,果香、木香、轻微花香,Flavor_database
VOL_00015,"3-Oxo-7,8-dihydro-α-ionol","3-Oxo-7,8-dihydro-α-ionol",metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-氧代-7,8-二氢-α-紫罗兰醇，是烟草发酵中由3-氧代-α-紫罗兰醇还原生成。",中 - 增加烟草木香和甜香,木香、甜香、轻微果香,Flavor_database
VOL_00016,Grasshopper ketone,Grasshopper ketone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,蚱蜢酮，由新黄质裂解产生的C13酮类，是β-大马酮等重要香气物质的前体。,中高 - 重要香气前体物质,甜香、果香、轻微青草香,Flavor_database
VOL_00017,Blumenol A,Blumenol A,metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇A，C13降异戊二烯醇，由叶黄素裂解产生，具有木香和甜香。,中 - 烟草木香和甜香的贡献者,木香、甜香、轻微果香,Flavor_database
VOL_00018,Brevicomins,Brevicomins,metabolite,,C10H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,短尾酮类化合物，由类胡萝卜素裂解产生的C10双环酮醇，具有甜香和果香。,中 - 增加烟草甜香和果香,甜香、果香、木香,Flavor_database
VOL_00019,Vomifoliol,Vomifoliol,metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,催吐醇，C13降异戊二烯三醇，是β-大马酮等香气物质的氧化前体。,中 - 重要香气前体,微弱果香、木香,Flavor_database
VOL_00020,"4,4-Dihydroxy-β-ionone","4,4-Dihydroxy-β-ionone",metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"4,4-二羟基-β-紫罗兰酮，β-紫罗兰酮的双羟基衍生物。",中 - 香气前体物质,微弱花香、木香,Flavor_database
VOL_00021,3-Hydroxy-β-ionone,3-Hydroxy-β-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-β-紫罗兰酮，β-紫罗兰酮的羟基衍生物，是烟草中重要的香气前体。,中高 - 重要香气前体和修饰剂,花香、果香、木香,Flavor_database
VOL_00022,β-Damascenone glycoside precursor,β-Damascenone glycoside precursor,metabolite,,C19H28O8,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮糖苷前体，在发酵过程中经糖苷酶水解释放游离β-大马酮。,高 - 重要香气前体库,无直接香气(糖苷态)，水解后释放甜花香,Flavor_database
VOL_00023,3-Hydroxydamascone,3-Hydroxydamascone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基大马酮，大马酮的羟基衍生物，具有果香和花香。,中 - 增强烟草果香,果香、花香、甜香,Flavor_database
VOL_00024,3-Oxo-α-ionone,3-Oxo-α-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-氧代-α-紫罗兰酮，α-紫罗兰酮的氧化产物。,中 - 香气修饰剂,花香、木香、轻微果香,Flavor_database
VOL_00025,3-Oxo-β-ionone,3-Oxo-β-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-氧代-β-紫罗兰酮，β-紫罗兰酮的氧化产物。,中 - 香气修饰剂,花香、木香、果香,Flavor_database
VOL_00026,4-Hydroxy-β-ionone,4-Hydroxy-β-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,4-羟基-β-紫罗兰酮，β-紫罗兰酮的4位羟基衍生物。,中 - 香气前体,花香、木香,Flavor_database
VOL_00027,4-Oxo-β-ionone,4-Oxo-β-ionone,metabolite,,C13H18O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,4-氧代-β-紫罗兰酮，β-紫罗兰酮的4位氧化产物。,中 - 香气修饰剂,花香、木香、轻微烟草香,Flavor_database
VOL_00028,Dihydroactinidiolide,Dihydroactinidiolide,metabolite,,C11H16O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,二氢猕猴桃内酯，由β-胡萝卜素裂解产生的C11内酯，具有木香和麝香。,高 - 烟草木香和麝香的重要贡献者,木香、麝香、杏子样果香,Flavor_database
VOL_00029,Actinorhodin-related norisoprenoid,Actinorhodin-related norisoprenoid,metabolite,,C11H14O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,C11降异戊二烯内酯类，与二氢猕猴桃内酯结构相似。,中 - 修饰烟草木香,木香、轻微果香,Flavor_database
VOL_00030,Megastigmatrienol,Megastigmatrienol,metabolite,,C13H20O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯醇，巨豆三烯酮的还原产物，具有甜香和木香。,中高 - 增强烟草甜香,甜香、木香、轻微果香,Flavor_database
VOL_00031,Megastigmadienone,Megastigmadienone,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆二烯酮，巨豆三烯酮脱氢产物。,中 - 修饰烟草甜香,甜香、木香、烤香,Flavor_database
VOL_00032,Norisoprenoid C14 (β-Damascone epoxide),Norisoprenoid C14 (β-Damascone epoxide),metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-大马酮环氧化物，由β-大马酮环氧化生成。,中 - 香气前体,微弱花香、甜香,Flavor_database
VOL_00033,β-Ionone epoxide,β-Ionone epoxide,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰酮环氧化物，β-紫罗兰酮的环氧化产物。,中 - 香气前体,花香、木香,Flavor_database
VOL_00034,α-Ionol,α-Ionol,metabolite,,C13H22O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,α-紫罗兰醇，α-紫罗兰酮的还原产物。,中 - 香气前体,花香、木香、甜香,Flavor_database
VOL_00035,β-Ionol,β-Ionol,metabolite,,C13H22O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰醇，β-紫罗兰酮的还原产物。,中 - 香气前体,花香、果香、甜香,Flavor_database
VOL_00036,3-Hydroxy-α-ionol,3-Hydroxy-α-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-α-紫罗兰醇，α-紫罗兰醇的羟基衍生物。,中 - 香气前体,花香、木香,Flavor_database
VOL_00037,3-Hydroxy-β-ionol,3-Hydroxy-β-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,3-羟基-β-紫罗兰醇，β-紫罗兰醇的羟基衍生物。,中 - 香气前体,花香、果香,Flavor_database
VOL_00038,"3-Hydroxy-7,8-dehydro-β-ionol","3-Hydroxy-7,8-dehydro-β-ionol",metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-羟基-7,8-脱氢-β-紫罗兰醇。",中 - 香气前体,花香、木香,Flavor_database
VOL_00039,6-Hydroxy-α-ionol,6-Hydroxy-α-ionol,metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,6-羟基-α-紫罗兰醇。,中 - 香气前体,花香、木香,Flavor_database
VOL_00040,6-Hydroxy-α-ionone,6-Hydroxy-α-ionone,metabolite,,C13H20O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,6-羟基-α-紫罗兰酮。,中 - 香气前体,花香、木香,Flavor_database
VOL_00041,Blumenol B,Blumenol B,metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇B，布卢门醇A的异构体。,中 - 香气前体,木香、甜香,Flavor_database
VOL_00042,Blumenol C,Blumenol C,metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,布卢门醇C，C13降异戊二烯醇。,中 - 香气前体,木香、果香,Flavor_database
VOL_00043,"7,8-Dihydrovomifoliol","7,8-Dihydrovomifoliol",metabolite,,C13H22O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"7,8-二氢催吐醇，催吐醇的还原产物。",中 - 香气前体,微弱果香、木香,Flavor_database
VOL_00044,Dehydrovomifoliol,Dehydrovomifoliol,metabolite,,C13H18O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,脱氢催吐醇，催吐醇的氧化产物。,中 - 香气前体,微弱果香,Flavor_database
VOL_00045,"4-Hydroxy-4,5-dihydro-β-ionone","4-Hydroxy-4,5-dihydro-β-ionone",metabolite,,C13H22O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"4-羟基-4,5-二氢-β-紫罗兰酮。",中 - 香气前体,花香、木香,Flavor_database
VOL_00046,"3-Hydroxy-5,6-epoxy-β-ionone","3-Hydroxy-5,6-epoxy-β-ionone",metabolite,,C13H20O3,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,"3-羟基-5,6-环氧-β-紫罗兰酮。",中 - 香气前体,花香、果香,Flavor_database
VOL_00047,β-Ionyl acetate,β-Ionyl acetate,metabolite,,C15H24O2,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,β-紫罗兰醇乙酸酯，糖苷水解后的酯化产物。,中 - 香气修饰剂,花香、果香、甜香,Flavor_database
VOL_00048,Megastigmatrienone D,Megastigmatrienone D,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮D异构体。,高 - 增强烟草甜香,甜香、木香、烤香,Flavor_database
VOL_00049,Megastigmatrienone E,Megastigmatrienone E,metabolite,,C13H18O,Carotenoid degradation product,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,巨豆三烯酮E异构体。,中高 - 增强烟草甜香,甜香、干草香,Flavor_database
VOL_00050,Solanone,Solanone,metabolite,,C13H22O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮，烟草特有的西柏烷类C13酮类化合物，由西柏三烯醇氧化裂解生成，是烟草清甜香的特征成分。,极高 - 烟草清甜香和果甜香的特征成分,新鲜胡萝卜样甜香、果甜香、轻微辛香,Flavor_database
VOL_00051,Solanone epoxide,Solanone epoxide,metabolite,,C13H22O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮环氧化物，茄酮的环氧化产物，具有甜香和果香。,高 - 增强烟草甜香和果香,甜香、果香、轻微青香,Flavor_database
VOL_00052,Nor-solanone,Nor-solanone,metabolite,,C12H20O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降茄酮，茄酮脱甲基产物，香气更浓郁。,中高 - 增强烟草甜香,甜香、果香、辛香,Flavor_database
VOL_00053,Solanol,Solanol,metabolite,,C13H24O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄醇，茄酮的还原产物，具有甜香和木香。,中高 - 增强烟草甜香,甜香、木香、轻微果香,Flavor_database
VOL_00054,Solanolanone,Solanolanone,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄兰酮，西柏烷类降解产物，具有甜香和木香。,中 - 增强烟草甜香,甜香、木香、烤香,Flavor_database
VOL_00055,Cembranatriene,Cembranatriene,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯，C20二萜烯烃，是西柏烷类化合物的前体。,中高 - 西柏烷类香气前体,微弱树脂香、木香,Flavor_database
VOL_00056,Cembratriene-diol,Cembratriene-diol,metabolite,,C20H34O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯二醇，C20二萜二醇，是茄酮等重要香气物质的前体。,极高 - 重要香气前体库,微弱甜香、木香,Flavor_database
VOL_00057,Cembratriene-triol,Cembratriene-triol,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯三醇，西柏三烯二醇的进一步羟基化产物。,高 - 香气前体,微弱甜香,Flavor_database
VOL_00058,Cembratrienol,Cembratrienol,metabolite,,C20H34O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯醇，C20二萜醇。,中高 - 香气前体,微弱木香、甜香,Flavor_database
VOL_00059,Tabanone (α-Cembrenediol derivative),Tabanone (α-Cembrenediol derivative),metabolite,,C14H22O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Tabanone，西柏烷类降解产生的C14酮醇，是烟草特有香气成分。,高 - 烟草特有香气,甜香、木香、烤烟香,Flavor_database
VOL_00060,Nor-tabanone,Nor-tabanone,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降Tabanone，Tabanone脱甲基产物。,中高 - 增强烟草甜香,甜香、木香,Flavor_database
VOL_00061,Solanone glycoside precursor,Solanone glycoside precursor,metabolite,,C19H32O6,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮糖苷前体，发酵过程中经糖苷酶水解释放游离茄酮。,高 - 重要香气前体库,无直接香气(糖苷态),Flavor_database
VOL_00062,Cembratriene oxide,Cembratriene oxide,metabolite,,C20H34O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯氧化物。,中 - 香气前体,微弱木香、树脂香,Flavor_database
VOL_00063,Cembratriene-diol epoxide,Cembratriene-diol epoxide,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯二醇环氧化物。,中 - 香气前体,微弱甜香,Flavor_database
VOL_00064,Solanone diol,Solanone diol,metabolite,,C13H24O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮二醇，茄酮的还原产物。,中 - 香气前体,甜香、木香,Flavor_database
VOL_00065,Nor-solanol,Nor-solanol,metabolite,,C12H22O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降茄醇，降茄酮的还原产物。,中 - 香气前体,甜香、木香,Flavor_database
VOL_00066,Solanone aldehyde,Solanone aldehyde,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮醛，茄酮氧化的中间产物。,中 - 香气前体,甜香、青香,Flavor_database
VOL_00067,Cembranoid acid,Cembranoid acid,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烷酸，西柏三烯二醇的氧化产物。,中 - 香气前体,微弱木香,Flavor_database
VOL_00068,Cembrene A,Cembrene A,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烯A，C20二萜烯烃。,中 - 香气前体,树脂香、木香,Flavor_database
VOL_00069,Cembrene C,Cembrene C,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烯C，西柏烯A的异构体。,中 - 香气前体,树脂香、木香,Flavor_database
VOL_00070,Neophytadiene (diterpene hydrocarbon),Neophytadiene (diterpene hydrocarbon),metabolite,,C20H38,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,新植二烯，C20二烯烃，是烟草中含量最高的香气物质之一，本身无香气但能显著提升烟气醇和度和香气量。,极高 - 提升烟气香气量和醇和度,无显著香气，但增加烟气整体香气浓度,Flavor_database
VOL_00071,Phytol,Phytol,metabolite,,C20H40O,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,叶绿醇，C20二萜醇，是叶绿素的侧链成分，发酵中释放后可转化为新植二烯。,高 - 新植二烯前体,微弱花香、木香,Flavor_database
VOL_00072,Phytol acetate,Phytol acetate,metabolite,,C22H42O2,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,叶绿醇乙酸酯。,中 - 香气修饰剂,微弱花香、甜香,Flavor_database
VOL_00073,Isophytol,Isophytol,metabolite,,C20H40O,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,异叶绿醇，叶绿醇的异构体。,中 - 香气前体,微弱花香,Flavor_database
VOL_00074,2-Acetylfuran,2-Acetylfuran,metabolite,,C6H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,2-乙酰呋喃，美拉德反应产物，由糖类热降解或发酵中微生物转化生成，具有甜香和烘烤香。,高 - 烟草甜香和烘烤香的重要贡献者,甜香、焦糖香、烘烤香、烟熏香,Flavor_database
VOL_00075,2-Acetylpyrrole,2-Acetylpyrrole,metabolite,,C6H7NO,Maillard reaction product,Maillard reaction product (Pyrrole),Maillard reaction product (Pyrrole),Maillard reaction product,2-乙酰吡咯，美拉德反应产物，由脯氨酸与还原糖反应生成，具有甜香和坚果香。,中高 - 增强烟草甜香和坚果香,甜香、坚果香、面包香,Flavor_database
VOL_00076,5-Methylfurfural,5-Methylfurfural,metabolite,,C6H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,5-甲基糠醛，由6-脱氧糖(如鼠李糖)热降解或发酵生成，具有甜香和焦糖香。,高 - 烟草甜香和焦糖香的贡献者,甜香、焦糖香、辛香、烤香,Flavor_database
VOL_00077,Furfural,Furfural,metabolite,C01510,C5H4O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,糠醛，由戊糖(如木糖)酸催化脱水或微生物发酵生成，是烟草烘烤香的核心成分。,极高 - 烟草烘烤香和甜香的核心成分,甜香、焦糖香、面包香、杏仁香,Flavor_database
VOL_00078,2-Furfuryl alcohol,2-Furfuryl alcohol,metabolite,,C5H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,糠醇，糠醛的还原产物，具有焦糖香和烘烤香。,高 - 烟草烘烤香的贡献者,焦糖香、烘烤香、甜香、烟熏香,Flavor_database
VOL_00079,2-Acetyl-1-pyrroline,2-Acetyl-1-pyrroline,metabolite,,C6H9NO,Maillard reaction product,Maillard reaction product (Pyrroline),Maillard reaction product (Pyrroline),Maillard reaction product,2-乙酰-1-吡咯啉，美拉德反应产物，具有极强的爆米花香，香气阈值极低。,极高 - 烟草爆米花香和烤香的特征成分,爆米花香、烤面包香、坚果香,Flavor_database
VOL_00080,2-Acetylthiazole,2-Acetylthiazole,metabolite,,C5H5NOS,Maillard reaction product,Maillard reaction product (Thiazole),Maillard reaction product (Thiazole),Maillard reaction product,2-乙酰噻唑，由半胱氨酸和糖的美拉德反应生成，具有坚果香和烤香。,高 - 烟草坚果香和烤香的贡献者,坚果香、烤香、吡嗪样香,Flavor_database
VOL_00081,2-Acetyl-2-thiazoline,2-Acetyl-2-thiazoline,metabolite,,C5H7NOS,Maillard reaction product,Maillard reaction product (Thiazoline),Maillard reaction product (Thiazoline),Maillard reaction product,2-乙酰-2-噻唑啉，由半胱氨酸和糖的美拉德反应生成，具有烤香和坚果香。,高 - 烟草烤香的特征成分,烤香、坚果香、爆米花香,Flavor_database
VOL_00082,Furfuryl thiol (2-Furanmethanethiol),Furfuryl thiol (2-Furanmethanethiol),metabolite,,C5H6OS,Maillard reaction product,Maillard reaction product (Furan thiol),Maillard reaction product (Furan thiol),Maillard reaction product,糠硫醇，由半胱氨酸-糠醛加合物降解或微生物转化生成，具有极强的咖啡香和烤香。,极高 - 烟草咖啡香和烤香的特征成分,咖啡香、烤香、肉香、洋葱样香,Flavor_database
