gene_id,name,type,kegg,pfam,ec_number,description,category,super_class,family,organism
NtG_00011,P450,gene,K01610,PF00067,EC 1.13.11.71; EC 5.4.99.18,P450 - enzyme for Megastigmatrienone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00012,isomerase,gene,K01610,PF00154;PF01266,EC 1.13.11.71; EC 5.3.-.-,isomerase - enzyme for Megastigmatrienone B biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00013,epoxidase,gene,K01610,,EC 1.13.11.71; EC 1.14.-.-,epoxidase - enzyme for Theaspirone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00014,cyclase,gene,K01610,,EC 1.13.11.71,cyclase - enzyme for Theaspirane A biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00015,alcohol_dehydrogenase,gene,K01610,PF00498;PF08640,EC 1.13.11.71; EC 1.1.1.1,alcohol_dehydrogenase - enzyme for 3-Oxo-α-ionol biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00016,ene-reductase,gene,K01610,,EC 1.13.11.71; EC 1.3.1.-; EC 1.1.1.1,"ene-reductase - enzyme for 3-Oxo-7,8-dihydro-α-ionol biosynthesis",Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00017,ADH,gene,K01610,,EC 1.13.11.71; EC 1.3.1.-; EC 1.1.1.1,"ADH - enzyme for 3-Oxo-7,8-dihydro-α-ionol biosynthesis",Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00018,β-glucosidase,gene,K01188,,EC 3.2.1.21; EC 1.13.11.71,β-glucosidase - enzyme for β-Damascenone glycoside precursor biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00019,Baeyer-Villiger_monooxygenase,gene,K01610,PF04140;PF03171,EC 1.13.11.71; EC 1.14.13.22,Baeyer-Villiger_monooxygenase - enzyme for Dihydroactinidiolide biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00020,BVMO,gene,K01610,,EC 1.13.11.71; EC 1.14.13.22,BVMO - enzyme for Actinorhodin-related norisoprenoid biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00021,dehydrogenase,gene,K01610,PF00498;PF08640,EC 1.13.11.71; EC 1.3.1.-,dehydrogenase - enzyme for Megastigmadienone biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00022,P450_epoxidase,gene,K01610,PF00067,EC 1.13.11.71; EC 1.14.-.-,P450_epoxidase - enzyme for β-Ionone epoxide biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00023,acetyltransferase,gene,K01610,PF00501;PF00583,EC 1.13.11.71; EC 1.1.1.1; EC 2.3.1.84,acetyltransferase - enzyme for β-Ionyl acetate biosynthesis,Carotenoid degradation product (C13 norisoprenoid),Carotenoid degradation product,Carotenoid degradation product,Nicotiana tabacum
NtG_00024,cembranoid_oxidase,gene,,,EC 1.14.-.-,cembranoid_oxidase - enzyme for Solanone biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00025,demethylase,gene,,,EC 1.14.-.-; EC 1.14.13.-,demethylase - enzyme for Nor-solanone biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00026,reductase,gene,K00001,,EC 1.1.1.1,reductase - enzyme for Solanol biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00027,cembratriene_synthase,gene,,PF00288;PF00155,EC 4.2.3.-,cembratriene_synthase - enzyme for Cembranatriene biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00028,CBTS,gene,,,EC 4.2.3.-; EC 1.14.-.-,CBTS - enzyme for Cembratriene-diol biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00029,P450_hydroxylase,gene,,PF00067,EC 4.2.3.-; EC 1.14.-.-,P450_hydroxylase - enzyme for Cembratriene-diol biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00030,retro-aldolase,gene,,,EC 1.14.-.-,retro-aldolase - enzyme for Tabanone (α-Cembrenediol derivative) biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00031,aldehyde_dehydrogenase,gene,K00107,PF00498;PF08640,EC 1.14.-.-; EC 1.2.1.3,aldehyde_dehydrogenase - enzyme for Cembranoid acid biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00032,cembrene_synthase,gene,,PF00288;PF00155,EC 4.2.3.-,cembrene_synthase - enzyme for Cembrene A biosynthesis,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Nicotiana tabacum
NtG_00033,phytyl_diphosphate_synthase,gene,,PF00288;PF00155,EC 2.5.1.-; EC 4.2.3.-,phytyl_diphosphate_synthase - enzyme for Neophytadiene (diterpene hydrocarbon) biosynthesis,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Nicotiana tabacum
NtG_00034,neophytadiene_synthase,gene,,PF00288;PF00155,EC 2.5.1.-; EC 4.2.3.-,neophytadiene_synthase - enzyme for Neophytadiene (diterpene hydrocarbon) biosynthesis,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Nicotiana tabacum
NtG_00035,chlorophyllase,gene,K08099,,EC 3.1.1.14; EC 1.1.1.-,chlorophyllase - enzyme for Phytol biosynthesis,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Nicotiana tabacum
NtG_00036,phytol_dehydrogenase,gene,K08099,PF00498;PF08640,EC 3.1.1.14; EC 1.1.1.-,phytol_dehydrogenase - enzyme for Phytol biosynthesis,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Nicotiana tabacum
NtG_00037,amylase,gene,,,NA,amylase - enzyme for 2-Acetylfuran biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00038,Maillard_pathway,gene,,,NA,Maillard_pathway - enzyme for 2-Acetylfuran biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00039,furan_synthase,gene,,PF00288;PF00155,NA,furan_synthase - enzyme for 2-Acetylfuran biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00040,proline_dehydrogenase,gene,,PF00498;PF08640,NA,proline_dehydrogenase - enzyme for 2-Acetylpyrrole biosynthesis,Maillard reaction product (Pyrrole),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00041,rhamnose_isomerase,gene,K01813,PF00154;PF01266,EC 5.3.1.14; EC 4.2.1.-,rhamnose_isomerase - enzyme for 5-Methylfurfural biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00042,dehydratase,gene,K01813,,EC 5.3.1.14; EC 4.2.1.-,dehydratase - enzyme for 5-Methylfurfural biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00043,xylose_isomerase,gene,K01805,PF00154;PF01266,EC 5.3.1.5; EC 4.2.1.-,xylose_isomerase - enzyme for Furfural biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00044,xylose_dehydratase,gene,K01805,,EC 5.3.1.5; EC 4.2.1.-,xylose_dehydratase - enzyme for Furfural biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00045,furfural_reductase,gene,K00001,,EC 1.1.1.-; EC 1.1.1.1,furfural_reductase - enzyme for 2-Furfuryl alcohol biosynthesis,Maillard reaction product (Furan),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00046,1-pyrroline-5-carboxylate_dehydrogenase,gene,K00318,PF00498;PF08640,EC 1.5.5.2; EC 1.2.1.88,1-pyrroline-5-carboxylate_dehydrogenase - enzyme for 2-Acetyl-1-pyrroline biosynthesis,Maillard reaction product (Pyrroline),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00047,cysteine_desulfurase,gene,K04487,,EC 2.8.1.7,cysteine_desulfurase - enzyme for 2-Acetylthiazole biosynthesis,Maillard reaction product (Thiazole),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00048,cysteine-furfural_conjugate_lyase,gene,K00816,PF00274;PF00682,EC 4.4.1.13,cysteine-furfural_conjugate_lyase - enzyme for Furfuryl thiol (2-Furanmethanethiol) biosynthesis,Maillard reaction product (Furan thiol),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00049,β-lyase,gene,K00816,PF00274;PF00682,EC 4.4.1.13,β-lyase - enzyme for Furfuryl thiol (2-Furanmethanethiol) biosynthesis,Maillard reaction product (Furan thiol),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00050,aminotransferase,gene,K23259,PF00501;PF00583,EC 2.6.1.-; EC 1.1.1.80,aminotransferase - enzyme for Pyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00051,threonine_dehydrogenase,gene,K23259,PF00498;PF08640,EC 2.6.1.-; EC 1.1.1.80,threonine_dehydrogenase - enzyme for Pyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00052,threonine/alanine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"threonine/alanine_aminotransferase - enzyme for 2,3-Dimethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00053,threonine/valine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"threonine/valine_aminotransferase - enzyme for 2,3,5-Trimethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00054,acetoin_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"acetoin_aminotransferase - enzyme for 2,3,5,6-Tetramethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00055,pyrazine_synthase,gene,,PF00288;PF00155,EC 2.6.1.-,"pyrazine_synthase - enzyme for 2,3,5,6-Tetramethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00056,threonine/isoleucine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"threonine/isoleucine_aminotransferase - enzyme for 2-Ethyl-3,5-dimethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00057,pyrazine_acetyltransferase,gene,,PF00501;PF00583,EC 2.3.1.-,pyrazine_acetyltransferase - enzyme for Acetylpyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00058,threonine/isoleucine/valine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"threonine/isoleucine/valine_aminotransferase - enzyme for 2,3-Diethyl-5-methylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00059,isoleucine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"isoleucine_aminotransferase - enzyme for 2,5-Diethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00060,threonine/valine/isoleucine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-,"threonine/valine/isoleucine_aminotransferase - enzyme for 2,3,5-Trimethyl-6-ethylpyrazine biosynthesis",Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00061,O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,O-methyltransferase - enzyme for Methoxypyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00062,valine_aminotransferase,gene,,PF00501;PF00583,EC 2.1.1.-; EC 2.6.1.-,valine_aminotransferase - enzyme for 2-Methoxy-3-isopropylpyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00063,leucine_aminotransferase,gene,,PF00501;PF00583,EC 2.1.1.-; EC 2.6.1.-,leucine_aminotransferase - enzyme for 2-Methoxy-3-isobutylpyrazine biosynthesis,Maillard reaction product (Pyrazine),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00064,rhamnose_pathway,gene,,,EC 4.2.1.-,"rhamnose_pathway - enzyme for 4-Hydroxy-2,5-dimethyl-3(2H)-furanone (HDMF, Furaneol) biosynthesis",Maillard reaction product (Furanone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00065,furanone_synthase,gene,,PF00288;PF00155,EC 4.2.1.-,"furanone_synthase - enzyme for 4-Hydroxy-2,5-dimethyl-3(2H)-furanone (HDMF, Furaneol) biosynthesis",Maillard reaction product (Furanone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00066,furanone_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,"furanone_O-methyltransferase - enzyme for 4-Methoxy-2,5-dimethyl-3(2H)-furanone (DMMF) biosynthesis",Maillard reaction product (Furanone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00067,aldolase,gene,,,EC 4.2.1.-; EC 4.1.2.-,aldolase - enzyme for 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone (Homofuraneol) biosynthesis,Maillard reaction product (Furanone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00068,α-ketobutyrate_condensation_enzyme,gene,,,EC 4.1.2.-,"α-ketobutyrate_condensation_enzyme - enzyme for Sotolone (3-Hydroxy-4,5-dimethyl-2(5H)-furanone) biosynthesis",Maillard reaction product (Furanone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00069,maltol_synthase,gene,K01176,PF00288;PF00155,EC 3.2.1.1,maltol_synthase - enzyme for Maltol biosynthesis,Maillard reaction product (Pyranone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00070,alkylation_enzyme,gene,,,NA,alkylation_enzyme - enzyme for Ethylmaltol biosynthesis,Maillard reaction product (Pyranone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00071,2-enol_isomerase,gene,,PF00154;PF01266,EC 5.3.3.-,2-enol_isomerase - enzyme for Cyclotene (3-Methyl-2-cyclopenten-2-ol-1-one) biosynthesis,Maillard reaction product (Cyclopentenone),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00072,cysteine-furan_conjugate_lyase,gene,K00816,PF00274;PF00682,EC 4.4.1.13,cysteine-furan_conjugate_lyase - enzyme for 2-Methyl-3-furanthiol biosynthesis,Maillard reaction product (Furan thiol),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00073,methionine_aminotransferase,gene,K01761,PF00501;PF00583,EC 2.6.1.-; EC 4.4.1.11,methionine_aminotransferase - enzyme for Methional (3-(Methylthio)propanal) biosynthesis,Maillard reaction product (Sulfur aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00074,methionine-γ-lyase,gene,K01761,PF00274;PF00682,EC 2.6.1.-; EC 4.4.1.11,methionine-γ-lyase - enzyme for Methional (3-(Methylthio)propanal) biosynthesis,Maillard reaction product (Sulfur aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00075,phenylalanine_aminotransferase,gene,,PF00501;PF00583,EC 2.6.1.-; EC 4.1.1.43,phenylalanine_aminotransferase - enzyme for Phenylacetaldehyde biosynthesis,Maillard reaction product (Aromatic aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00076,phenylpyruvate_decarboxylase,gene,,PF00184;PF02784,EC 2.6.1.-; EC 4.1.1.43,phenylpyruvate_decarboxylase - enzyme for Phenylacetaldehyde biosynthesis,Maillard reaction product (Aromatic aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00077,α-ketoisocaproate_decarboxylase,gene,K01568,PF00184;PF02784,EC 2.6.1.-; EC 4.1.1.1,α-ketoisocaproate_decarboxylase - enzyme for 3-Methylbutanal biosynthesis,Maillard reaction product (Aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00078,α-keto-3-methylvalerate_decarboxylase,gene,K01568,PF00184;PF02784,EC 2.6.1.-; EC 4.1.1.1,α-keto-3-methylvalerate_decarboxylase - enzyme for 2-Methylbutanal biosynthesis,Maillard reaction product (Aldehyde),Maillard reaction product,Maillard reaction product,Nicotiana tabacum
NtG_00079,phenylacetaldehyde_reductase,gene,K00001,,EC 2.6.1.-; EC 4.1.1.43; EC 1.1.1.1,phenylacetaldehyde_reductase - enzyme for Phenylethanol (2-Phenylethanol) biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00080,phenylalanine_ammonia-lyase,gene,K08248,PF00274;PF00682,EC 4.3.1.5; EC 4.1.2.10,phenylalanine_ammonia-lyase - enzyme for Benzaldehyde biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00081,mandelonitrile_lyase,gene,K08248,PF00274;PF00682,EC 4.3.1.5; EC 4.1.2.10,mandelonitrile_lyase - enzyme for Benzaldehyde biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00082,benzyl_alcohol_dehydrogenase,gene,K00001,PF00498;PF08640,EC 1.1.1.1; EC 1.1.1.90,benzyl_alcohol_dehydrogenase - enzyme for Benzyl alcohol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00083,salicylate_O-methyltransferase,gene,K13396,PF00501;PF00583,EC 2.1.1.122,salicylate_O-methyltransferase - enzyme for Methyl salicylate biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00084,PAL,gene,K10775,,EC 4.3.1.5; EC 1.14.13.11; EC 1.1.1.-,PAL - enzyme for Eugenol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00085,cinnamate_4-hydroxylase,gene,,,EC 4.3.1.5; EC 1.14.13.11; EC 1.1.1.-,cinnamate_4-hydroxylase - enzyme for Eugenol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00086,eugenol_synthase,gene,,PF00288;PF00155,EC 4.3.1.5; EC 1.14.13.11; EC 1.1.1.-,eugenol_synthase - enzyme for Eugenol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00087,C4H,gene,K00487,,EC 4.3.1.5; EC 1.14.13.11; EC 1.1.1.-,C4H - enzyme for Isoeugenol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00088,isoeugenol_synthase,gene,,PF00288;PF00155,EC 4.3.1.5; EC 1.14.13.11; EC 1.1.1.-,isoeugenol_synthase - enzyme for Isoeugenol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00089,ferulic_acid_decarboxylase,gene,,PF00184;PF02784,EC 4.1.1.-; EC 1.1.1.-; EC 6.2.1.-,ferulic_acid_decarboxylase - enzyme for Vanillin biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00090,vanillin_synthase,gene,,PF00288;PF00155,EC 4.1.1.-; EC 1.1.1.-; EC 6.2.1.-,vanillin_synthase - enzyme for Vanillin biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00091,coenzyme_A_ligase,gene,,PF00561;PF01609,EC 4.1.1.-; EC 1.1.1.-; EC 6.2.1.-,coenzyme_A_ligase - enzyme for Vanillin biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00092,ferulic_acid_pathway,gene,,,EC 1.14.-.-,ferulic_acid_pathway - enzyme for Acetovanillone (Apocynin) biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00093,β-oxidase,gene,,,EC 1.14.-.-,β-oxidase - enzyme for Acetovanillone (Apocynin) biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00094,demethoxylase,gene,,,EC 1.14.-.-,demethoxylase - enzyme for Guaiacol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00095,vinylphenol_reductase,gene,,,EC 1.3.1.-,vinylphenol_reductase - enzyme for 4-Ethylguaiacol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00096,cinnamoyl-CoA_reductase,gene,K09753,,EC 4.3.1.5; EC 1.2.1.44,cinnamoyl-CoA_reductase - enzyme for Cinnamaldehyde biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00097,cinnamaldehyde_dehydrogenase,gene,K09753,PF00498;PF08640,EC 4.3.1.5; EC 1.2.1.44,cinnamaldehyde_dehydrogenase - enzyme for Cinnamaldehyde biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00098,cinnamyl_alcohol_dehydrogenase,gene,K00083,PF00498;PF08640,EC 1.1.1.195,cinnamyl_alcohol_dehydrogenase - enzyme for Cinnamyl alcohol biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00099,cinnamate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,cinnamate_O-methyltransferase - enzyme for Methyl cinnamate biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00100,cinnamate_ester_synthase,gene,K00664,PF00288;PF00155,EC 2.3.1.-; EC 2.3.1.84,cinnamate_ester_synthase - enzyme for Ethyl cinnamate biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00101,ethanol_O-acyltransferase,gene,K00664,PF00501;PF00583,EC 2.3.1.-; EC 2.3.1.84,ethanol_O-acyltransferase - enzyme for Ethyl cinnamate biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
NtG_00102,alcohol_acetyltransferase,gene,K00664,PF00501;PF00583,EC 2.3.1.84,alcohol_acetyltransferase - enzyme for 2-Phenylethyl acetate biosynthesis,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Phenylpropanoid/benzenoid compound,Nicotiana tabacum
