ID,name,type,kegg,formula,super_class,class,sub_class,family,description,importance
METAB_00051,Solanone epoxide,metabolite,,C13H22O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮环氧化物，茄酮的环氧化产物，具有甜香和果香。,高 - 增强烟草甜香和果香
METAB_00052,Nor-solanone,metabolite,,C12H20O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降茄酮，茄酮脱甲基产物，香气更浓郁。,中高 - 增强烟草甜香
METAB_00053,Solanol,metabolite,,C13H24O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄醇，茄酮的还原产物，具有甜香和木香。,中高 - 增强烟草甜香
METAB_00054,Solanolanone,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄兰酮，西柏烷类降解产物，具有甜香和木香。,中 - 增强烟草甜香
METAB_00055,Cembranatriene,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯，C20二萜烯烃，是西柏烷类化合物的前体。,中高 - 西柏烷类香气前体
METAB_00056,Cembratriene-diol,metabolite,,C20H34O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯二醇，C20二萜二醇，是茄酮等重要香气物质的前体。,极高 - 重要香气前体库
METAB_00057,Cembratriene-triol,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯三醇，西柏三烯二醇的进一步羟基化产物。,高 - 香气前体
METAB_00058,Cembratrienol,metabolite,,C20H34O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯醇，C20二萜醇。,中高 - 香气前体
METAB_00059,Tabanone (α-Cembrenediol derivative),metabolite,,C14H22O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Tabanone，西柏烷类降解产生的C14酮醇，是烟草特有香气成分。,高 - 烟草特有香气
METAB_00060,Nor-tabanone,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降Tabanone，Tabanone脱甲基产物。,中高 - 增强烟草甜香
METAB_00061,Solanone glycoside precursor,metabolite,,C19H32O6,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮糖苷前体，发酵过程中经糖苷酶水解释放游离茄酮。,高 - 重要香气前体库
METAB_00062,Cembratriene oxide,metabolite,,C20H34O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯氧化物。,中 - 香气前体
METAB_00063,Cembratriene-diol epoxide,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏三烯二醇环氧化物。,中 - 香气前体
METAB_00064,Solanone diol,metabolite,,C13H24O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮二醇，茄酮的还原产物。,中 - 香气前体
METAB_00065,Nor-solanol,metabolite,,C12H22O,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,降茄醇，降茄酮的还原产物。,中 - 香气前体
METAB_00066,Solanone aldehyde,metabolite,,C13H20O2,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,茄酮醛，茄酮氧化的中间产物。,中 - 香气前体
METAB_00067,Cembranoid acid,metabolite,,C20H34O3,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烷酸，西柏三烯二醇的氧化产物。,中 - 香气前体
METAB_00068,Cembrene A,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烯A，C20二萜烯烃。,中 - 香气前体
METAB_00069,Cembrene C,metabolite,,C20H32,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,Cembranoid degradation product,西柏烯C，西柏烯A的异构体。,中 - 香气前体
METAB_00070,Neophytadiene (diterpene hydrocarbon),metabolite,,C20H38,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,新植二烯，C20二烯烃，是烟草中含量最高的香气物质之一，本身无香气但能显著提升烟气醇和度和香气量。,极高 - 提升烟气香气量和醇和度
METAB_00071,Phytol,metabolite,,C20H40O,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,叶绿醇，C20二萜醇，是叶绿素的侧链成分，发酵中释放后可转化为新植二烯。,高 - 新植二烯前体
METAB_00072,Phytol acetate,metabolite,,C22H42O2,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,叶绿醇乙酸酯。,中 - 香气修饰剂
METAB_00073,Isophytol,metabolite,,C20H40O,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,Cembranoid degradation product / Diterpene,异叶绿醇，叶绿醇的异构体。,中 - 香气前体
METAB_00074,2-Acetylfuran,metabolite,,C6H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,2-乙酰呋喃，美拉德反应产物，由糖类热降解或发酵中微生物转化生成，具有甜香和烘烤香。,高 - 烟草甜香和烘烤香的重要贡献者
METAB_00075,2-Acetylpyrrole,metabolite,,C6H7NO,Maillard reaction product,Maillard reaction product (Pyrrole),Maillard reaction product (Pyrrole),Maillard reaction product,2-乙酰吡咯，美拉德反应产物，由脯氨酸与还原糖反应生成，具有甜香和坚果香。,中高 - 增强烟草甜香和坚果香
METAB_00076,5-Methylfurfural,metabolite,,C6H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,5-甲基糠醛，由6-脱氧糖(如鼠李糖)热降解或发酵生成，具有甜香和焦糖香。,高 - 烟草甜香和焦糖香的贡献者
METAB_00077,Furfural,metabolite,C01510,C5H4O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,糠醛，由戊糖(如木糖)酸催化脱水或微生物发酵生成，是烟草烘烤香的核心成分。,极高 - 烟草烘烤香和甜香的核心成分
METAB_00078,2-Furfuryl alcohol,metabolite,,C5H6O2,Maillard reaction product,Maillard reaction product (Furan),Maillard reaction product (Furan),Maillard reaction product,糠醇，糠醛的还原产物，具有焦糖香和烘烤香。,高 - 烟草烘烤香的贡献者
METAB_00079,2-Acetyl-1-pyrroline,metabolite,,C6H9NO,Maillard reaction product,Maillard reaction product (Pyrroline),Maillard reaction product (Pyrroline),Maillard reaction product,2-乙酰-1-吡咯啉，美拉德反应产物，具有极强的爆米花香，香气阈值极低。,极高 - 烟草爆米花香和烤香的特征成分
METAB_00080,2-Acetylthiazole,metabolite,,C5H5NOS,Maillard reaction product,Maillard reaction product (Thiazole),Maillard reaction product (Thiazole),Maillard reaction product,2-乙酰噻唑，由半胱氨酸和糖的美拉德反应生成，具有坚果香和烤香。,高 - 烟草坚果香和烤香的贡献者
METAB_00081,2-Acetyl-2-thiazoline,metabolite,,C5H7NOS,Maillard reaction product,Maillard reaction product (Thiazoline),Maillard reaction product (Thiazoline),Maillard reaction product,2-乙酰-2-噻唑啉，由半胱氨酸和糖的美拉德反应生成，具有烤香和坚果香。,高 - 烟草烤香的特征成分
METAB_00082,Furfuryl thiol (2-Furanmethanethiol),metabolite,,C5H6OS,Maillard reaction product,Maillard reaction product (Furan thiol),Maillard reaction product (Furan thiol),Maillard reaction product,糠硫醇，由半胱氨酸-糠醛加合物降解或微生物转化生成，具有极强的咖啡香和烤香。,极高 - 烟草咖啡香和烤香的特征成分
METAB_00083,Pyrazine,metabolite,,C4H4N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,吡嗪，最简单的吡嗪类化合物，由两个氨基乙醛缩合生成，具有坚果香和烤香。,中 - 烟草烤香的基础成分
METAB_00084,2-Methylpyrazine,metabolite,,C5H6N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,2-甲基吡嗪，由苏氨酸和糖的美拉德反应生成，具有坚果香和烤香。,高 - 烟草坚果香和烤香的贡献者
METAB_00085,"2,3-Dimethylpyrazine",metabolite,,C6H8N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3-二甲基吡嗪，由苏氨酸和丙氨酸的美拉德反应生成，具有坚果香和烤香。",高 - 烟草坚果香和烤香的贡献者
METAB_00086,"2,5-Dimethylpyrazine",metabolite,,C6H8N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,5-二甲基吡嗪，由苏氨酸自缩合或与丙氨酸反应生成，具有坚果香和烤香。",高 - 烟草坚果香和烤香的核心成分
METAB_00087,"2,6-Dimethylpyrazine",metabolite,,C6H8N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,6-二甲基吡嗪，2,5-二甲基吡嗉的异构体。",中高 - 增强烟草坚果香
METAB_00088,"2,3,5-Trimethylpyrazine",metabolite,,C7H10N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3,5-三甲基吡嗪，由苏氨酸、丙氨酸和缬氨酸的美拉德反应生成，具有坚果香和烤香。",高 - 烟草坚果香和烤香的重要贡献者
METAB_00089,"2,3,5,6-Tetramethylpyrazine",metabolite,,C8H12N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3,5,6-四甲基吡嗪(川芎嗪)，由丙酮醛和氨基乙醛缩合或微生物发酵生成，具有坚果香和烤香。",高 - 烟草坚果香和烤香的贡献者
METAB_00090,"2-Ethyl-3,5-dimethylpyrazine",metabolite,,C8H12N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2-乙基-3,5-二甲基吡嗪，由苏氨酸、丙氨酸和异亮氨酸的美拉德反应生成。",极高 - 香气阈值极低，对烤香贡献大
METAB_00091,"2-Ethyl-3,6-dimethylpyrazine",metabolite,,C8H12N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2-乙基-3,6-二甲基吡嗪，2-乙基-3,5-二甲基吡嗪的异构体。",极高 - 香气阈值极低
METAB_00092,2-Ethyl-5-methylpyrazine,metabolite,,C7H10N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,2-乙基-5-甲基吡嗪。,中高 - 增强烟草烤香
METAB_00093,2-Ethyl-6-methylpyrazine,metabolite,,C7H10N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,2-乙基-6-甲基吡嗪。,中高 - 增强烟草烤香
METAB_00094,2-Ethylpyrazine,metabolite,,C6H8N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,2-乙基吡嗪。,中 - 增强烟草烤香
METAB_00095,Acetylpyrazine,metabolite,,C6H6N2O,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,乙酰吡嗪，吡嗪的乙酰衍生物，具有坚果香和爆米花香。,中高 - 增强烟草爆米花香
METAB_00096,"2,3-Diethylpyrazine",metabolite,,C8H12N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3-二乙基吡嗪。",高 - 香气阈值低
METAB_00097,"2,3-Diethyl-5-methylpyrazine",metabolite,,C9H14N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3-二乙基-5-甲基吡嗪，香气阈值极低。",极高 - 香气阈值极低
METAB_00098,"2,5-Diethylpyrazine",metabolite,,C8H12N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,5-二乙基吡嗪。",中高 - 增强烟草烤香
METAB_00099,"2,3,5-Trimethyl-6-ethylpyrazine",metabolite,,C9H14N2,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,"2,3,5-三甲基-6-乙基吡嗪。",中高 - 增强烟草烤香
METAB_00100,Methoxypyrazine,metabolite,,C5H6N2O,Maillard reaction product,Maillard reaction product (Pyrazine),Maillard reaction product (Pyrazine),Maillard reaction product,甲氧基吡嗪，具有青椒样香气。,极高 - 香气阈值极低
