id,name,type,kegg,taxonomy_phylum,taxonomy_class,family
MIC_00080,Penicillium digitatum,organism,,Ascomycota,Eurotiomycetes,Penicillium
MIC_00081,Penicillium notatum,organism,,Ascomycota,Eurotiomycetes,Penicillium
MIC_00082,Penicillium roqueforti,organism,,Ascomycota,Eurotiomycetes,Penicillium
MIC_00083,Penicillium spp.,organism,,Ascomycota,Eurotiomycetes,Penicillium
MIC_00084,Phanerochaete chrysosporium,organism,,Unknown,Unknown,Phanerochaete
MIC_00085,Pichia anomala,organism,,Unknown,Unknown,Pichia
MIC_00086,Pichia pastoris,organism,,Unknown,Unknown,Pichia
MIC_00087,Pichia spp.,organism,,Unknown,Unknown,Pichia
MIC_00088,Pichia stipitis,organism,,Unknown,Unknown,Pichia
MIC_00089,Propionibacterium freudenreichii,organism,,Unknown,Unknown,Propionibacterium
MIC_00090,Propionibacterium shermanii,organism,,Unknown,Unknown,Propionibacterium
MIC_00091,Pseudomonas aeruginosa,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00092,Pseudomonas chlororaphis,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00093,Pseudomonas fluorescens,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00094,Pseudomonas fragi,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00095,Pseudomonas putida,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00096,Pseudomonas spp.,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00097,Pseudomonas stutzeri,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00098,Pseudomonas syringae,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00099,Pseudomonas taetrolens,organism,,Proteobacteria,Gammaproteobacteria,Pseudomonas
MIC_00100,Rhizobium spp.,organism,,Unknown,Unknown,Rhizobium
MIC_00101,Rhizopus oryzae,organism,,Unknown,Unknown,Rhizopus
MIC_00102,Rhodotorula glutinis,organism,,Unknown,Unknown,Rhodotorula
MIC_00103,Saccharomyces cerevisiae,organism,,Ascomycota,Saccharomycetes,Saccharomyces
MIC_00104,Saccharomyces cerevisiae (engineered),organism,,Ascomycota,Saccharomycetes,Saccharomyces
MIC_00105,Saccharomyces pastorianus,organism,,Ascomycota,Saccharomycetes,Saccharomyces
MIC_00106,Serratia marcescens,organism,,Unknown,Unknown,Serratia
MIC_00107,Serratia plymuthica,organism,,Unknown,Unknown,Serratia
MIC_00108,Staphylococcus aureus,organism,,Unknown,Unknown,Staphylococcus
MIC_00109,Staphylococcus epidermidis,organism,,Unknown,Unknown,Staphylococcus
MIC_00110,Starmerella bombicola,organism,,Unknown,Unknown,Starmerella
MIC_00111,Streptococcus thermophilus,organism,,Unknown,Unknown,Streptococcus
MIC_00112,Streptomyces albus,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00113,Streptomyces avermitilis,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00114,Streptomyces coelicolor,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00115,Streptomyces griseus,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00116,Streptomyces lividans,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00117,Streptomyces scabies,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00118,Streptomyces spp.,organism,,Actinobacteria,Actinomycetia,Streptomyces
MIC_00119,Trametes versicolor,organism,,Basidiomycota,Agaricomycetes,Trametes
MIC_00120,Trichoderma atroviride,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00121,Trichoderma harzianum,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00122,Trichoderma koningii,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00123,Trichoderma reesei,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00124,Trichoderma spp.,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00125,Trichoderma viride,organism,,Basidiomycota,Agaricomycetes,Trichoderma
MIC_00126,Wickerhamomyces anomalus,organism,,Unknown,Unknown,Wickerhamomyces
MIC_00127,Yarrowia lipolytica,organism,,Unknown,Unknown,Yarrowia
MIC_00128,Zygosaccharomyces bailii,organism,,Unknown,Unknown,Zygosaccharomyces
MIC_00129,Zygosaccharomyces rouxii,organism,,Unknown,Unknown,Zygosaccharomyces
MIC_00130,Zymomonas mobilis,organism,,Unknown,Unknown,Zymomonas
MIC_00131,tobacco endophytes,organism,,Unknown,Unknown,tobacco
